Number,Name,IsPrivate,HasEngLangLearnerProg,HasFrenchImmersionProg,HasAborigSuppServices,HasContinuingEdProgram,HasDistributedLearnProg,HasCareerPrepProg,HasCoopProg,HasApprenticeshipProg,HasCareerTechnicalProg,Lat,Long,Address,URL
3939032,Admiral Seymour Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2786,-123.0803,1130 Keefer St,http://www.vsb.bc.ca/schools/admiral-seymour
6868018,Bayview Elementary,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2665,-123.1823,2251 Collingwood St,http://www.vsb.bc.ca/schools/bayview
3939004,Britannia Community Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,49.2752,-123.0719,1001 Cotton Drive,http://www.vsb.bc.ca/schools/britannia-secondary
3939088,Captain James Cook Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2194,-123.0358,3340 E 54th Av,http://www.vsb.bc.ca/schools/captain-james-cook
3939137,Champlain Heights Annex,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2141,-123.0305,7835 Champlain Crescent,http://www.vsb.bc.ca/schools/champlain-heights-annex
3939117,Chief Maquinna Annex,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2664,-123.0451,2882 E 4th Av,http://www.vsb.bc.ca/schools/chief-maquinna
3939139,Collingwood Neighbourhood School,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2363,-123.0323,3417 Euclid Av,http://www.vsb.bc.ca/schools/collingwood-neighbourhood-bruce-annex
3939035,David Lloyd George Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.21,-123.1363,8370 Cartier St,http://www.vsb.bc.ca/schools/david-lloyd-george
7324058,David Thompson Elementary,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2204,-123.0706,1755 E 55th Av,http://www.vsb.bc.ca/schools/david-thompson
3939071,Edith Cavell Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2529,-123.1172,500 W 20th Av,http://www.vsb.bc.ca/schools/edith-cavell
3939140,Elsie Roy Elementary,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2722,-123.1225,150 Drake St,http://www.vsb.bc.ca/schools/elsie-roy
3939022,Eric Hamber Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.2396,-123.1258,5025 Willow St,http://www.vsb.bc.ca/
3939136,False Creek Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2671,-123.1269,900 School Green,http://www.vsb.bc.ca/schools/false-creek
3939121,Garibaldi Annex,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2754,-123.0503,1025 Slocan St,http://www.vsb.bc.ca/
3939014,Gladstone Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,49.2476,-123.0616,4105 Gladstone St,http://www.vsb.bc.ca/schools/gladstone
3939076,Grandview Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2662,-123.0744,2055 Woodland Drive,http://www.vsb.bc.ca/schools/grandview
4747013,Henderson Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2226,-123.0953,451 E 53rd Av,http://www.vsb.bc.ca/schools/john-henderson
3939053,Henry Hudson Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2722,-123.1494,1551 Cypress St,http://www.vsb.bc.ca/schools/henry-hudson
3939062,John Norquay Elementary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2414,-123.0516,4710 Slocan St,http://www.vsb.bc.ca/schools/john-norquay
3939007,John Oliver Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.232,-123.0928,530 E 41st Av,http://www.vsb.bc.ca/schools/john-oliver
3939113,Kerrisdale Annex,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2329,-123.1774,3250 W 43rd Av,http://www.vsb.bc.ca/schools/kerrisdale-annex
3939038,Kerrisdale Elementary,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49.2362,-123.1735,5555 Carnarvon St,http://www.vsb.bc.ca/schools/kerrisdale
3939016,Killarney Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,49.2253,-123.0442,6454 Killarney St,http://www.vsb.bc.ca/schools/killarney
3939001,King George Secondary,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,49.2898,-123.1364,1755 Barclay St,http://www.vsb.bc.ca/schools/king-george
